"","Player","Team","Team_within_selected_timeframe","League","Season","Main_Position","Secondary_Position","Tertiary_Position","Age","Market_value","Contract_expires","Matches_played","Minutes_played","Goals","xG","Assists","xA","Duels_per_90","Duels_won_.","Birth_country","Passport_country","Foot","Height","Weight","On_loan","Successful_defensive_actions_per_90","Defensive_duels_per_90","Defensive_duels_won_.","Aerial_duels_per_90","Aerial_duels_won_.","Sliding_tackles_per_90","PAdj_Sliding_tackles","Shots_blocked_per_90","Interceptions_per_90","PAdj_Interceptions","Fouls_per_90","Yellow_cards","Yellow_cards_per_90","Red_cards","Red_cards_per_90","Successful_attacking_actions_per_90","Goals_per_90","Non.penalty_goals","Non.penalty_goals_per_90","xG_per_90","Head_goals","Head_goals_per_90","Shots","Shots_per_90","Shots_on_target_.","Goal_conversion_.","Assists_per_90","Crosses_per_90","Accurate_crosses_.","Crosses_from_left_flank_per_90","Accurate_crosses_from_left_flank_.","Crosses_from_right_flank_per_90","Accurate_crosses_from_right_flank_.","Crosses_to_goalie_box_per_90","Dribbles_per_90","Successful_dribbles_.","Offensive_duels_per_90","Offensive_duels_won_.","Touches_in_box_per_90","Progressive_runs_per_90","Accelerations_per_90","Received_passes_per_90","Received_long_passes_per_90","Fouls_suffered_per_90","Passes_per_90","Accurate_passes_.","Forward_passes_per_90","Accurate_forward_passes_.","Back_passes_per_90","Accurate_back_passes_.","Lateral_passes_per_90","Accurate_lateral_passes_.","Short_._medium_passes_per_90","Accurate_short_._medium_passes_.","Long_passes_per_90","Accurate_long_passes_.","Average_pass_length_m","Average_long_pass_length_m","xA_per_90","Shot_assists_per_90","Second_assists_per_90","Third_assists_per_90","Smart_passes_per_90","Accurate_smart_passes_.","Key_passes_per_90","Passes_to_final_third_per_90","Accurate_passes_to_final_third_.","Passes_to_penalty_area_per_90","Accurate_passes_to_penalty_area_.","Through_passes_per_90","Accurate_through_passes_.","Deep_completions_per_90","Deep_completed_crosses_per_90","Progressive_passes_per_90","Accurate_progressive_passes_.","Conceded_goals","Conceded_goals_per_90","Shots_against","Shots_against_per_90","Clean_sheets","Save_rate_.","xG_against","xG_against_per_90","Prevented_goals","Prevented_goals_per_90","Back_passes_received_as_GK_per_90","Exits_per_90","Aerial_duels_per_90.1","Free_kicks_per_90","Direct_free_kicks_per_90","Direct_free_kicks_on_target_.","Corners_per_90","Penalties_taken","Penalty_conversion_.","General_Position","Dribbles_Completed","Goals_per_xG","Smart_Passes_Completed","Passes_Completed","Defensive_Duels_Won","Progressive_Passes_Completed","Shots_On_Target","Crosses_Completed","Penalty_Area_Passes_Completed","Chance_Creation"
"392","L. Wing","Wycombe Wanderers","Wycombe Wanderers","England League One","2021/22","LCMF","AMF","RDMF",26,2000000,"",3,76,0,0,0,0.02,13.03,54.55,"England","England","right",185,74,"no",10.66,4.74,75,2.37,50,0,0,1.18,7.11,13.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,33.33,0,0,0,8.29,1.18,1.18,16.58,85.71,5.92,60,2.37,100,1.18,100,15.39,92.31,1.18,0,16.49,4.35,0.03,1.18,0,0,0,0,0,1.18,100,1.18,0,0,0,0,0,2.37,50,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"CM2",0,NA,0,14.210718,3.555,1.185,0,0,0,1.25465211
"393","S. Winnall","Oxford United","Oxford United","England League One","2021/22","CF",NA,NA,31,400000,"2022-06-30",5,73,0,0.45,0,0,27.12,27.27,"England","England","right",175,72,"no",3.7,3.7,100,12.33,20,0,0,0,0,0,1.23,0,0,0,0,2.47,0,0,0,0.55,0,0,2,2.47,50,0,0,0,0,0,0,0,0,0,1.23,100,6.16,20,2.47,0,0,8.63,1.23,0,13.56,81.82,2.47,50,7.4,100,2.47,50,13.56,81.82,0,0,6.71,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"CF",1.23,0,0,11.094792,3.7,0,1.235,0,0,0
"394","E. Chapman","Cheltenham Town","Cheltenham Town","England League One","2021/22","LCMF","AMF",NA,21,0,"",2,72,0,0.02,0,0,15,41.67,"England","England","left",191,76,"no",8.75,12.5,30,0,0,0,0,0,5,5.45,2.5,0,0,0,0,2.5,0,0,0,0.03,0,0,1,1.25,100,0,0,0,0,0,0,0,0,0,1.25,100,1.25,100,0,1.25,0,33.75,0,0,45,86.11,8.75,71.43,10,75,16.25,100,42.5,88.24,2.5,50,15.89,13.58,0,0,0,0,0,0,0,7.5,66.67,2.5,0,1.25,0,0,0,5,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"CM2",1.25,0,0,38.7495,3.75,5,1.25,0,0,6.4811675
"395","O. Younger","Doncaster Rovers","Doncaster Rovers","England League One","2021/22","RB","LCB","RCB",22,0,"2023-06-30",3,72,0,0,0,0,17.5,71.43,"England","England","right",185,75,"no",15,10,87.5,6.25,60,0,0,1.25,6.25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,27.5,59.09,16.25,53.85,0,0,7.5,83.33,18.75,80,8.75,14.29,24.23,45.29,0,0,0,0,0,0,0,3.75,33.33,0,0,0,0,0,0,11.25,33.33,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"FB",0,NA,0,16.24975,8.75,3.749625,0,0,0,0
"396","L. Mansell","Accrington Stanley","Accrington Stanley","England League One","2021/22","CF","RWF",NA,24,50000,"2022-06-30",2,71,0,0,0,0,43.1,32.35,"England","England","right",188,75,"no",3.8,2.54,100,21.55,29.41,0,0,0,1.27,2.14,1.27,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,100,8.87,28.57,0,0,0,5.07,1.27,1.27,12.68,90,3.8,66.67,7.61,100,0,0,12.68,90,0,0,9.38,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"CF",1.27,NA,0,11.412,2.54,0,0,0,0,0
"397","J. McClean","Wigan Athletic","Wigan Athletic","England League One","2021/22","LWB",NA,NA,33,1500000,"2023-06-30",1,71,0,0,1,0.48,24.08,36.84,"Northern Ireland","Northern Ireland, Republic of Ireland","left",180,70,"no",8.87,6.34,20,5.07,75,2.54,4.62,0,5.07,9.23,0,0,0,0,0,5.07,0,0,0,0,0,0,0,0,0,0,1.27,5.07,50,2.54,0,2.54,100,1.27,2.54,100,6.34,60,2.54,2.54,0,22.82,0,1.27,35.49,64.29,13.94,72.73,2.54,50,10.14,50,25.35,70,5.07,50,20.93,49.29,0.61,2.54,0,0,0,0,1.27,2.54,50,3.8,66.67,0,0,0,2.54,10.14,62.5,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,1.27,0,0,5.07,0,0,"WB",2.54,NA,0,22.816521,1.268,6.3375,0,2.535,2.53346,99.35893143468
"398","M. Miller","Rotherham United","Rotherham United","England League One","2021/22","LWB",NA,NA,26,300000,"2022-06-30",3,69,0,0.17,0,0,35.22,59.26,"England","England, Jamaica","left",173,65,"no",13.04,6.52,80,0,0,1.3,2.14,0,6.52,10.71,0,0,0,0,0,10.43,0,0,0,0.22,0,0,2,2.61,0,0,0,7.83,0,6.52,0,1.3,0,1.3,10.43,100,22.17,64.71,3.91,2.61,0,18.26,0,2.61,36.52,64.29,13.04,70,3.91,100,11.74,44.44,27.39,85.71,1.3,0,18.75,9.72,0,0,0,0,1.3,0,0,6.52,60,5.22,0,1.3,0,0,0,6.52,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,5.22,0,0,"WB",10.43,0,0,23.478708,5.216,6.52,0,0,0,6.7404142
"399","J. Lankester","Cambridge United","Cambridge United","England League One","2021/22","LAMF",NA,NA,22,150000,"2022-06-30",1,69,0,0.09,0,0.06,14.35,45.45,"England","England","left",183,74,"no",3.91,3.91,66.67,0,0,0,0,0,1.3,1.67,1.3,0,0,0,0,1.3,0,0,0,0.11,0,0,1,1.3,0,0,0,1.3,0,1.3,0,0,0,0,3.91,33.33,6.52,60,3.91,1.3,0,23.48,1.3,1.3,31.3,66.67,9.13,57.14,6.52,80,7.83,100,27.39,66.67,2.61,100,19.88,37.53,0.08,1.3,0,0,1.3,0,1.3,1.3,0,2.61,0,1.3,0,1.3,0,3.91,66.67,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"Winger",1.303203,0,0,20.86771,2.606797,2.606797,0,0,0,51.75712926
"400","L. Sørensen","Lincoln City","Lincoln City","England League One","2021/22","DMF","RCMF","LCMF",22,0,"2023-06-30",2,69,0,0,0,0.06,11.74,55.56,"Denmark","Denmark","right",185,75,"no",14.35,7.83,83.33,0,0,2.61,3.33,1.3,5.22,6.67,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,1.3,0,0,1.3,1.3,27.39,0,0,44.35,88.24,15.65,75,5.22,100,14.35,90.91,43.04,87.88,1.3,100,11.57,29.57,0.08,1.3,0,0,0,0,0,9.13,42.86,0,0,0,0,0,0,2.61,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,1.3,0,0,"CDM",0,NA,0,39.13444,6.524739,2.61,0,0,0,3.34573896
"401","K. Freeman","Portsmouth","Portsmouth","England League One","2021/22","RB","RWB",NA,29,600000,"2023-06-30",1,67,0,0,1,0.57,8.06,50,"England","England, Wales","right",178,79,"no",4.03,0,0,2.69,0,0,0,2.69,4.03,5,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,100,2.69,50,1.34,0,0,10.75,0,1.34,13.43,80,5.37,75,4.03,100,0,0,10.75,75,2.69,100,23.5,41.63,0.76,1.34,0,0,0,0,1.34,2.69,100,0,0,0,0,1.34,0,5.37,75,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"FB",1.34,NA,0,10.744,0,4.0275,0,0,0,74.7376801
